data,cidade,latitude,longitude,precipitacao_mm,fonte
2026-07-15,Caxias do Sul,-29.1681,-51.1794,0.0,Open-Meteo ERA5
2026-07-15,Lajeado,-29.4669,-51.9614,0.0,Open-Meteo ERA5
2026-07-15,Passo Fundo,-28.2625,-52.4083,0.0,Open-Meteo ERA5
2026-07-15,Pelotas,-31.7654,-52.3376,0.0,Open-Meteo ERA5
2026-07-15,Porto Alegre,-30.0346,-51.2177,0.0,Open-Meteo ERA5
2026-07-15,Rio Grande,-32.035,-52.0986,0.0,Open-Meteo ERA5
2026-07-15,Santa Cruz do Sul,-29.7186,-52.4311,0.0,Open-Meteo ERA5
2026-07-15,Santa Maria,-29.6842,-53.8069,0.0,Open-Meteo ERA5
2026-07-15,Uruguaiana,-29.7547,-57.0883,0.0,Open-Meteo ERA5
2026-07-16,Bagé,-31.3314,-54.1069,1.2,Open-Meteo ERA5
2026-07-16,Caxias do Sul,-29.1681,-51.1794,0.0,Open-Meteo ERA5
2026-07-16,Lajeado,-29.4669,-51.9614,0.0,Open-Meteo ERA5
2026-07-16,Passo Fundo,-28.2625,-52.4083,0.0,Open-Meteo ERA5
2026-07-16,Pelotas,-31.7654,-52.3376,0.0,Open-Meteo ERA5
2026-07-16,Porto Alegre,-30.0346,-51.2177,0.0,Open-Meteo ERA5
2026-07-16,Rio Grande,-32.035,-52.0986,0.0,Open-Meteo ERA5
2026-07-16,Santa Cruz do Sul,-29.7186,-52.4311,0.0,Open-Meteo ERA5
2026-07-16,Santa Maria,-29.6842,-53.8069,0.0,Open-Meteo ERA5
2026-07-16,Uruguaiana,-29.7547,-57.0883,7.0,Open-Meteo ERA5
2026-07-17,Bagé,-31.3314,-54.1069,0.8,Open-Meteo ERA5
2026-07-17,Caxias do Sul,-29.1681,-51.1794,0.0,Open-Meteo ERA5
2026-07-17,Lajeado,-29.4669,-51.9614,0.0,Open-Meteo ERA5
2026-07-17,Passo Fundo,-28.2625,-52.4083,0.0,Open-Meteo ERA5
2026-07-17,Pelotas,-31.7654,-52.3376,0.2,Open-Meteo ERA5
2026-07-17,Porto Alegre,-30.0346,-51.2177,0.0,Open-Meteo ERA5
2026-07-17,Rio Grande,-32.035,-52.0986,11.4,Open-Meteo ERA5
2026-07-17,Santa Cruz do Sul,-29.7186,-52.4311,0.0,Open-Meteo ERA5
2026-07-17,Santa Maria,-29.6842,-53.8069,0.0,Open-Meteo ERA5
2026-07-17,Uruguaiana,-29.7547,-57.0883,0.1,Open-Meteo ERA5
2026-07-18,Bagé,-31.3314,-54.1069,47.3,Open-Meteo ERA5
2026-07-18,Caxias do Sul,-29.1681,-51.1794,0.0,Open-Meteo ERA5
2026-07-18,Lajeado,-29.4669,-51.9614,0.0,Open-Meteo ERA5
2026-07-18,Passo Fundo,-28.2625,-52.4083,0.0,Open-Meteo ERA5
2026-07-18,Pelotas,-31.7654,-52.3376,32.4,Open-Meteo ERA5
2026-07-18,Porto Alegre,-30.0346,-51.2177,0.6,Open-Meteo ERA5
2026-07-18,Rio Grande,-32.035,-52.0986,21.9,Open-Meteo ERA5
2026-07-18,Santa Cruz do Sul,-29.7186,-52.4311,0.3,Open-Meteo ERA5
2026-07-18,Santa Maria,-29.6842,-53.8069,5.3,Open-Meteo ERA5
2026-07-18,Uruguaiana,-29.7547,-57.0883,19.4,Open-Meteo ERA5
2026-07-19,Bagé,-31.3314,-54.1069,34.6,Open-Meteo NWP
2026-07-19,Caxias do Sul,-29.1681,-51.1794,8.3,Open-Meteo NWP
2026-07-19,Lajeado,-29.4669,-51.9614,9.4,Open-Meteo NWP
2026-07-19,Passo Fundo,-28.2625,-52.4083,7.0,Open-Meteo NWP
2026-07-19,Pelotas,-31.7654,-52.3376,35.1,Open-Meteo NWP
2026-07-19,Porto Alegre,-30.0346,-51.2177,7.1,Open-Meteo NWP
2026-07-19,Rio Grande,-32.035,-52.0986,36.5,Open-Meteo NWP
2026-07-19,Santa Cruz do Sul,-29.7186,-52.4311,28.0,Open-Meteo NWP
2026-07-19,Santa Maria,-29.6842,-53.8069,36.5,Open-Meteo NWP
2026-07-19,Uruguaiana,-29.7547,-57.0883,46.2,Open-Meteo NWP
